"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"918385899557097472","","","2017-10-12 08:00:35 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:26: Good morning! I just came back up from reboot!","","","",""
"918023541924102144","","","2017-10-11 08:00:43 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:31: Good morning! I just came back up from reboot!","","","",""
"917661153378963456","","","2017-10-10 08:00:42 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:32: Good morning! I just came back up from reboot!","","","",""
"917298763860807682","","","2017-10-09 08:00:42 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:32: Good morning! I just came back up from reboot!","","","",""
"916936384945938432","","","2017-10-08 08:00:44 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:28: Good morning! I just came back up from reboot!","","","",""
"916573986560942080","","","2017-10-07 08:00:42 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:31: Good morning! I just came back up from reboot!","","","",""
"916211593007874048","","","2017-10-06 08:00:40 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:30: Good morning! I just came back up from reboot!","","","",""
"915849213111541762","","","2017-10-05 08:00:42 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:32: Good morning! I just came back up from reboot!","","","",""
"915486827171135489","","","2017-10-04 08:00:43 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:32: Good morning! I just came back up from reboot!","","","",""
"915124472511791104","","","2017-10-03 08:00:51 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:34: Good morning! I just came back up from reboot!","","","",""
"914762049451843584","","","2017-10-02 08:00:42 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:32: Good morning! I just came back up from reboot!","","","",""
"914399657412902912","","","2017-10-01 08:00:41 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:31: Good morning! I just came back up from reboot!","","","",""
"914037271384301568","","","2017-09-30 08:00:42 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:31: Good morning! I just came back up from reboot!","","","",""
"913674888904286215","","","2017-09-29 08:00:43 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:33: Good morning! I just came back up from reboot!","","","",""
"913312495384764417","","","2017-09-28 08:00:42 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:31: Good morning! I just came back up from reboot!","","","",""
"912950109565943808","","","2017-09-27 08:00:42 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:31: Good morning! I just came back up from reboot!","","","",""
"912587724741210112","","","2017-09-26 08:00:43 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:33: Good morning! I just came back up from reboot!","","","",""
"912225338058403840","","","2017-09-25 08:00:43 +0000","<a href=""http://example.com"" rel=""nofollow"">Raspberry Pi Status Tweeter</a>","01:00:33: Good morning! I just came back up from reboot!","","","",""
