Timestamp,What new word is Cory using?,What language?,"Date if different than ""now""?",Description
10/25/2019 16:06:21,cracker,English,10/25/2019,
10/25/2019 16:07:31,blue,Chinese,10/25/2019,
10/25/2019 16:07:49,red,Chinese,10/25/2019,
10/25/2019 16:08:01,green,Chinese,10/25/2019,
10/25/2019 16:08:26,yellow,Chinese,10/25/2019,
10/25/2019 17:23:56,bee,English,10/25/2019,
10/26/2019 7:23:08,puzzle,English,10/26/2019,
10/26/2019 7:23:20,1,Spanish,10/26/2019,
10/26/2019 7:23:32,2,Spanish,10/26/2019,
10/26/2019 7:23:49,3,Spanish,10/26/2019,
10/26/2019 7:28:59,fish,English,10/26/2019,
10/26/2019 7:39:45,pet,English,10/26/2019,The verb
10/26/2019 8:37:37,jump,English,,
10/26/2019 8:45:29,jump,English,,
10/26/2019 9:22:27,bus,English,10/25/2019,
10/26/2019 11:13:54,rock,English,,
10/26/2019 11:14:55,cow,English,,
10/26/2019 11:15:01,small,English,,
10/26/2019 12:40:24,run,English,,
10/26/2019 17:13:32,owl,Chinese,,
10/26/2019 17:29:58,cry,Chinese,,
10/26/2019 17:35:37,run,Chinese,,
10/26/2019 17:36:04,run,English,,
10/26/2019 18:55:55,strawberry,Chinese,,
10/28/2019 5:20:04,big,English,,
10/28/2019 7:47:14,outside,English,,
10/28/2019 10:11:36,bye,Spanish,,
10/28/2019 10:32:21,hot,English,,
10/28/2019 12:03:57,ok,English,,
10/28/2019 15:28:50,blue,English,,
10/28/2019 19:46:30,sound,English,,
10/28/2019 20:11:16,bed,English,,
10/29/2019 8:47:38,shut,English,,
10/29/2019 9:25:53,open,English,,
10/29/2019 19:29:04,hurt,English,,
10/29/2019 19:29:13,leg,Chinese,,
10/29/2019 19:29:22,1,Chinese,,
10/29/2019 19:29:29,2,Chinese,,
10/29/2019 19:29:37,3,Chinese,,
10/29/2019 19:29:45,4,Chinese,,
10/29/2019 19:29:52,5,Chinese,,
10/29/2019 19:29:58,6,Chinese,,
10/29/2019 19:30:06,7,Chinese,,
10/29/2019 19:30:13,7,Chinese,,
10/29/2019 19:30:22,8,Chinese,,
10/29/2019 19:30:31,9,Chinese,,
10/29/2019 19:30:39,10,Chinese,,
10/29/2019 19:31:01,1,English,,
10/29/2019 19:31:08,2,English,,
10/29/2019 19:31:15,3,English,,
10/29/2019 19:31:22,4,English,,
10/29/2019 19:31:30,leave,Chinese,,
10/29/2019 19:31:52,Grandma (maternal),Chinese,,
10/29/2019 19:32:04,Grandpa (maternal),Chinese,,
10/29/2019 19:32:14,1,Spanish,,
10/29/2019 19:32:25,2,Spanish,,
10/29/2019 19:32:35,3,Spanish,,
10/29/2019 19:32:45,5,Spanish,,
10/29/2019 19:32:51,6,Spanish,,
10/29/2019 19:33:00,8,Spanish,,
10/30/2019 7:47:11,moon,English,,
10/30/2019 8:12:17,block,English,,
10/30/2019 8:35:15,train,English,,
10/30/2019 8:35:24,car,English,,
10/30/2019 8:48:25,small,English,,
10/30/2019 8:48:54,mouth,English,,
10/30/2019 8:49:10,ash,English,,Brother's name
10/30/2019 9:39:08,move,English,,
10/30/2019 10:07:07,home,English,,
10/30/2019 10:42:45,tree,English,,
10/30/2019 10:47:12,house,English,,
10/30/2019 12:13:06,alligator,Chinese,,
10/30/2019 12:14:49,climb,Chinese,,
10/30/2019 12:14:58,climb,English,,
10/30/2019 12:23:06,whistle,Chinese,,
10/30/2019 12:35:15,lion dancer,Chinese,,
10/30/2019 12:52:59,pig,English,,
10/30/2019 16:24:24,strap in,Chinese,,
10/30/2019 16:32:31,stop,Chinese,,
10/30/2019 16:35:21,hold,Chinese,,
10/30/2019 16:35:28,hold,English,,
10/31/2019 7:42:34,picture,English,,
10/31/2019 7:42:41,bite,Chinese,,
10/31/2019 9:20:01,monkey,English,,
10/31/2019 9:23:30,bear,English,,
10/31/2019 9:25:15,hey,English,,Hey Google
10/31/2019 13:09:12,yes,Spanish,,
10/31/2019 15:56:53,goat,English,,
10/31/2019 15:57:02,sheep,English,,
10/31/2019 15:58:42,owl,English,,
10/31/2019 16:04:56,wolf,Chinese,,
10/31/2019 16:05:04,lick,Chinese,,
10/31/2019 16:05:11,monkey,Chinese,,
10/31/2019 16:07:43,broken,English,,
10/31/2019 16:30:52,zebra,English,,
10/31/2019 16:31:01,monkey,Spanish,,
10/31/2019 16:40:04,fox,English,,
10/31/2019 16:40:34,wait,English,,
10/31/2019 16:41:58,hold,English,,Hold baby
11/7/2019 10:56:18,run,Chinese,,
11/7/2019 10:58:30,Grandpa (maternal),Chinese,,
11/7/2019 11:10:03,chase,Chinese,,
11/7/2019 11:20:49,rooster,Chinese,,
11/7/2019 12:14:35,hold,English,,
11/7/2019 12:14:42,this,English,,
11/7/2019 12:27:31,deebot,English,,
11/7/2019 17:09:55,monster,English,,
11/7/2019 19:02:06,music,English,,
11/8/2019 16:06:56,pancake,English,,
11/8/2019 16:07:05,toast,English,,
11/9/2019 8:09:22,backpack,English,,
11/9/2019 17:06:49,car,English,,
11/10/2019 10:21:11,broken,English,,
11/10/2019 14:26:51,head,Spanish,,
11/10/2019 14:27:02,tail,Spanish,,
11/11/2019 13:30:21,wait,English,,
11/11/2019 14:41:56,watch,Chinese,,
11/11/2019 17:27:45,chair,Chinese,,
11/11/2019 19:43:55,dark,English,,
11/12/2019 8:04:42,eye,Chinese,,
11/13/2019 6:45:03,bathroom,English,,
11/13/2019 10:44:50,jump,English,,
11/13/2019 12:40:51,stair,English,,
11/14/2019 7:58:39,daiper,Chinese,,
11/15/2019 18:47:50,apple,English,,
11/15/2019 18:56:37,cut,Chinese,,
11/15/2019 19:02:10,phone,Chinese,,
11/16/2019 18:38:03,draw,English,,
11/16/2019 19:30:07,fire,English,,
11/16/2019 19:57:37,tigger,Name,,
11/17/2019 7:12:56,diaper,English,,
11/17/2019 7:14:52,cracker,Chinese,,
11/17/2019 8:51:07,drink,Chinese,,
11/17/2019 9:50:12,train,English,,
11/17/2019 10:04:32,house,English,,
11/17/2019 10:04:40,new,English,,
11/17/2019 14:41:23,there,English,,
11/17/2019 15:07:25,eat,Chinese,,
11/17/2019 15:13:17,throw,Chinese,,
11/17/2019 15:13:27,garbage,Chinese,,
11/17/2019 15:15:39,tea,English,,
11/17/2019 15:16:22,close,Chinese,,
11/17/2019 15:16:29,have to,Chinese,,
11/17/2019 15:16:37,cup,Chinese,,
11/17/2019 15:17:00,cover,Chinese,,
11/17/2019 15:17:09,drink,Chinese,,
11/17/2019 19:21:40,head,Spanish,,
11/17/2019 19:21:59,tail,Spanish,,
11/17/2019 19:22:09,to have,Spanish,,
11/18/2019 7:52:40,cut,English,,
11/18/2019 7:52:49,shut,English,,
11/18/2019 14:43:09,hit,English,,
11/18/2019 15:30:18,fix,English,,
11/18/2019 15:35:17,broken,English,,
11/18/2019 18:19:53,do,English,,
11/18/2019 18:20:04,it,English,,
11/18/2019 19:23:47,water,Spanish,,
11/18/2019 19:28:34,wolf,Spanish,,
11/19/2019 11:15:19,too,English,,
11/19/2019 11:15:29,much,English,,
11/19/2019 11:15:39,big,English,,
11/19/2019 18:01:35,do,English,,
11/19/2019 18:01:42,it,English,,
11/20/2019 9:51:03,ashes,English,,
11/20/2019 9:51:19,music,English,,
