timestamp,base_salary,annual_bonus,relocation_and_signing,equity_or_stock_per_year,total_comp,total_recurring_comp,job_title,seniority,years_exp,degree,approx_location,coarse_region,fine_region,gender,ethnicity,age_range,age
07/16/18 12:53 PM,121000,NULL,NULL,NULL,121000,121000,Data Scientist,Senior,3,Doctorate,Southwest US,Southwest,Southwest,Female,White,30-39,31
07/16/18 01:08 PM,127000,NULL,22500,7500,157000,134500,Data Scientist,Junior/entry level,0,Doctorate,Seattle,Northwest,Seattle,Female,Mixed,30-39,32
07/16/18 02:14 PM,110000,11000,NULL,NULL,121000,121000,Data Scientist,Junior/entry level,1,Doctorate,Boston,Northeast,Boston,Male,White,30-39,32
07/16/18 08:11 PM,110000,NULL,NULL,NULL,110000,110000,Data Engineer,Middle,3,Bachelor's Degree,New York,East Coast,New York,Male,White,20-29,26
07/16/18 10:22 PM,175000,32000,NULL,NULL,207000,207000,Data Scientist,Senior,4,Doctorate,NYC,East Coast,New York,Male,White,NULL,NULL
07/16/18 10:32 PM,135000,25000,NULL,NULL,160000,160000,Data Scientist,Middle,3,Doctorate,NYC,East Coast,New York,NULL,NULL,NULL,NULL
07/17/18 05:59 AM,140000,30000,50000,15000,235000,185000,Data Scientist,Senior,2,Doctorate,Texas,Southwest,Southwest,Male,White,30-39,33
07/17/18 07:30 AM,103000,NULL,NULL,NULL,103000,103000,Machine Learning Engineer,Junior/entry level,2,Doctorate,"Minneapolis, MN",Midwest,Minneapolis,Male,White,30-39,31
07/17/18 02:04 PM,140000,30000,5000,NULL,175000,170000,Data Scientist,Middle,3,Doctorate,Boston,Northeast,Boston,Male,White,20-29,28
07/17/18 02:19 PM,140000,NULL,3000,50000,193000,190000,Data Scientist,Middle,1,Doctorate,Bay Area,West Coast,Bay Area,Male,White,29-29,29
07/17/18 03:49 PM,110000,NULL,100500,NULL,210500,110000,Data Scientist,Junior/entry level,1,Doctorate,Dorchester ,East Coast,New York,Male,Arab,30-39,39
